epoch,g_loss,d_loss
1,0.3717,0.2138
2,0.3343,0.2254
3,0.3309,0.2305
4,0.3296,0.2324
5,0.3421,0.2253
6,0.3609,0.2226
7,0.3500,0.2229
8,0.3682,0.2156
9,0.3785,0.2148
10,0.3832,0.2143
11,0.3867,0.2138
12,0.3923,0.2103
13,0.4112,0.2057
14,0.4176,0.2018
15,0.4421,0.1936
16,0.4580,0.1904
17,0.4667,0.1884
18,0.4649,0.1867
19,0.4683,0.1863
20,0.4757,0.1835
21,0.4845,0.1815
22,0.4901,0.1771
23,0.4990,0.1751
24,0.5071,0.1725
25,0.5166,0.1703
26,0.5217,0.1668
27,0.5308,0.1656
28,0.5297,0.1666
29,0.5401,0.1635
30,0.5518,0.1589
31,0.5558,0.1582
32,0.5654,0.1570
33,0.5609,0.1572
34,0.5706,0.1532
35,0.5811,0.1509
36,0.5875,0.1487
37,0.5923,0.1474
38,0.6000,0.1459
39,0.5907,0.1496
40,0.6089,0.1399
41,0.6169,0.1399
42,0.6220,0.1389
43,0.6210,0.1392
44,0.6358,0.1337
45,0.6394,0.1332
46,0.6438,0.1299
47,0.6576,0.1281
48,0.6532,0.1290
49,0.6677,0.1255
50,0.6668,0.1251
51,0.6688,0.1232
52,0.6792,0.1225
53,0.6808,0.1206
54,0.6943,0.1193
55,0.6963,0.1161
56,0.7051,0.1154
57,0.6994,0.1150
58,0.7104,0.1142
59,0.7178,0.1128
60,0.7159,0.1106
61,0.7203,0.1109
62,0.7219,0.1113
63,0.7264,0.1079
64,0.7325,0.1066
65,0.7396,0.1057
66,0.7417,0.1052
67,0.7458,0.1044
68,0.7478,0.1014
69,0.7512,0.1013
70,0.7571,0.1009
71,0.7590,0.0990
72,0.7673,0.0975
73,0.7721,0.0966
74,0.7659,0.0968
75,0.7715,0.0989
76,0.7812,0.0933
77,0.7831,0.0923
78,0.7862,0.0944
79,0.7567,0.1049
80,0.7924,0.0872
81,0.7996,0.0884
82,0.7931,0.0904
83,0.8017,0.0868
84,0.8011,0.0871
85,0.8001,0.0887
86,0.8116,0.0862
87,0.8096,0.0859
88,0.8143,0.0859
89,0.8150,0.0838
90,0.8146,0.0839
91,0.8152,0.0828
92,0.8227,0.0833
93,0.8300,0.0786
94,0.8241,0.0819
95,0.8286,0.0805
96,0.8274,0.0810
97,0.8338,0.0788
98,0.8385,0.0782
99,0.8389,0.0776
100,0.8433,0.0753
